G,NO,ì˙ït,ìXï‹,ìXï‹ñº,ãqêî,ì_êî,ì‡ê≈ïWèÄ,ì‡ê≈åyå∏,äOê≈ïWèÄ,äOê≈åyå∏,ê≈çáåv,ê≈î≤îÑè„,ê≈î≤îÑè„(èÉäz),ê≈çûîÑè„,îÉè„ì_êî,ãqíPâø,ì_íPâø,POSëeóò,POSëeóòó¶%,ëeóòó¶%(èÉäz),é¿ëeóò,é¿ëeóòó¶%,ÉçÉXäz,ÉçÉXó¶%,ÉçÉXó¶ÅiíIâµÅj,ÉçÉXó¶Åiîpä¸Åj,óàìXâÔàıêî,ëçî≠çsŒﬂ≤›ƒ,œ≤ ﬁØ∏ﬁãqêî,œ≤ ﬁØ∏ﬁŒﬂ≤›ƒ,Ãﬂ⁄ ﬂΩãqêî,Ãﬂ⁄ ﬂΩŒﬂ≤›ƒ,äîéÂãqêî,äîéÂã‡äz(ê≈çûÇ›),äîéÂílà¯(ê≈çûÇ›),⁄ºﬁë‹(ê≈çûÇ›),Ç®îÉï®äÑà¯åîî≠çsã‡äz,Ç®îÉï®äÑà¯åîégópã‡äz,500â~åîî≠çsã‡äz,500â~åîégópã‡äz,í«â¡500â~åîî≠çsã‡äz,í«â¡500â~åîégópã‡äz,dŒﬂ≤›ƒïtó^é“êî,dŒﬂ≤›ƒïtó^Œﬂ≤›ƒëçêî,dŒﬂ≤›ƒóòópé“êî,dŒﬂ≤›ƒóòópŒﬂ≤›ƒëçêî,Aoca¡¨∞ºﬁPïtó^âÒêî,Aoca¡¨∞ºﬁPïtó^Œﬂ≤›ƒêî
3,1,,0,ÅüÅüÅüëççáåv,9095,71754,48576,0,976209,557760,1582545,17299361,17299361,18881906,7.89,1902.07,241.09,4002145,23.1,23.1,3655215,21.1,346930,2,0.8,1.2,6362,384264,0,0,0,0,1,747,39,0,0,0,403000,370500,88000,88000,691,11292,93,124892,2123,25555
0,2,2021/02/21,471,ñLèZí¨,461,4059,3056,0,56933,30994,90983,991357,991357,1082340,8.8,2150.45,244.24,219338,22.1,22.1,210449,21.2,8889,0.9,0,0.9,354,40888,0,0,0,0,0,0,0,0,0,0,37000,21000,5500,5500,26,397,5,5353,135,1803
0,3,2021/02/22,471,ñLèZí¨,279,2138,1429,0,27854,16499,45782,501456,501456,547238,7.66,1797.33,234.54,116202,23.2,23.2,110475,22,5727,1.1,0,1.1,176,3804,0,0,0,0,0,0,0,0,0,0,5000,10500,2500,2500,26,513,2,2458,49,477
0,4,2021/02/23,471,ñLèZí¨,260,1872,2198,0,26877,14245,43320,471087,471087,514407,7.2,1811.87,251.65,110981,23.6,23.6,106312,22.6,4669,1,0,1,171,3855,0,0,0,0,0,0,0,0,0,0,4500,17000,4500,4500,20,317,1,2357,59,714
0,5,2021/02/24,471,ñLèZí¨,448,3944,1836,0,52786,30699,85321,934050,934050,1019371,8.8,2084.93,236.83,205231,22,22,204411,21.9,820,0.1,-0.1,0.2,328,37286,0,0,0,0,0,0,0,0,0,0,38000,13000,3000,3000,26,434,3,2662,124,1611
0,6,2021/02/25,471,ñLèZí¨,273,1980,1702,0,28864,14235,44801,485979,485979,530780,7.25,1780.14,245.44,110555,22.7,22.7,96259,19.8,14296,2.9,1.5,1.4,184,4002,0,0,0,0,0,0,0,0,0,0,3500,11000,2500,2500,20,249,5,4550,68,704
0,7,2021/02/26,471,ñLèZí¨,271,1841,1370,0,19884,15401,36655,407450,407450,444105,6.79,1503.51,221.32,87505,21.5,21.5,84209,20.7,3296,0.8,0.3,0.5,190,3289,0,0,0,0,0,0,0,0,0,0,3500,11500,2500,2500,29,454,3,1581,65,618
0,8,2021/02/27,471,ñLèZí¨,301,2315,1204,0,29154,17084,47442,519762,519762,567204,7.69,1726.78,224.52,118368,22.8,22.8,115614,22.2,2754,0.5,0,0.5,198,4859,0,0,0,0,0,0,0,0,0,0,7000,10000,1500,1500,20,263,5,9489,63,598
0,9,2021/02/28,471,ñLèZí¨,486,4533,3097,0,63252,36578,102927,1125200,1125200,1228127,9.33,2315.23,248.22,254724,22.6,22.6,249577,22.2,5147,0.5,0,0.5,366,44892,0,0,0,0,0,0,0,0,0,0,49000,16000,4000,4000,32,616,4,7515,141,2107
0,10,2021/03/01,471,ñLèZí¨,310,2304,1529,0,30668,19253,51450,565273,565273,616723,7.43,1823.46,245.34,144987,25.6,25.6,135290,23.9,9697,1.7,0.1,1.6,197,4284,0,0,0,0,0,0,0,0,0,0,4500,12500,3000,3000,28,667,5,28221,61,596
0,11,2021/03/02,471,ñLèZí¨,242,1660,622,0,22718,13413,36753,403038,403038,439791,6.86,1665.45,242.79,103024,25.6,25.6,58400,14.5,44624,11.1,0,11.1,156,2865,0,0,0,0,0,0,0,0,0,0,4000,7500,1500,1500,22,291,5,428,45,541
0,12,2021/03/03,471,ñLèZí¨,398,3380,1856,0,46376,26566,74798,818091,818091,892889,8.49,2055.51,242.04,196084,24,24,194550,23.8,1534,0.2,0,0.2,294,32347,0,0,0,0,0,0,0,0,0,0,31500,10500,2500,2500,31,514,5,5246,102,1519
0,13,2021/03/04,471,ñLèZí¨,275,2021,616,0,33625,14754,48995,529178,529178,578173,7.35,1924.28,261.84,132657,25.1,25.1,128849,24.3,3808,0.7,0,0.7,193,4063,0,0,0,0,0,0,0,0,0,0,5000,13000,2000,2000,22,526,3,5855,67,631
0,14,2021/03/05,471,ñLèZí¨,277,1910,619,0,25784,14996,41399,453749,453749,495148,6.9,1638.08,237.56,109820,24.2,24.2,59937,13.2,49883,11,0,11,182,3638,0,0,0,0,0,0,0,0,0,0,5000,11500,2500,2500,25,386,1,896,57,583
